               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  55,            0.025803,            0.011795,          0.00058899,             0.94344,             0.83661,             0.92577,             0.57997,            0.025404,           0.0075334,           0.0011201,            0.007327,            0.007327,            0.007327
                  56,            0.025894,             0.01184,          0.00072602,             0.94296,             0.93464,             0.95592,              0.6045,            0.025321,           0.0075556,           0.0012352,           0.0072775,           0.0072775,           0.0072775
                  57,            0.025964,            0.011824,          0.00058671,             0.94809,             0.94072,             0.96146,             0.61669,            0.025073,           0.0073764,           0.0016385,            0.007228,            0.007228,            0.007228
                  58,            0.025513,            0.011568,          0.00056756,             0.94418,             0.93753,             0.96373,             0.60496,            0.025386,           0.0072327,           0.0013314,           0.0071785,           0.0071785,           0.0071785
                  59,            0.025611,            0.011659,          0.00051862,             0.97883,             0.86984,             0.93711,              0.6131,            0.024949,           0.0073107,            0.001943,            0.007129,            0.007129,            0.007129
                  60,            0.025392,            0.011603,          0.00069874,             0.98807,             0.90765,              0.9556,             0.61243,            0.025051,           0.0074565,           0.0017387,           0.0070795,           0.0070795,           0.0070795
                  61,            0.025615,            0.011833,          0.00086971,              0.9662,              0.9319,             0.96274,             0.61969,            0.024658,           0.0074222,           0.0010855,             0.00703,             0.00703,             0.00703
                  62,            0.025645,            0.011661,          0.00067992,             0.94526,             0.94288,              0.9591,             0.61293,            0.025297,           0.0073873,            0.001168,           0.0069805,           0.0069805,           0.0069805
                  63,            0.024949,            0.011918,          0.00085772,             0.97119,             0.91332,             0.96117,             0.61136,            0.025776,           0.0072425,          0.00082236,            0.006931,            0.006931,            0.006931
                  64,            0.025618,            0.011689,          0.00062685,             0.98029,             0.92108,             0.96071,             0.61155,            0.025553,           0.0072994,           0.0009167,           0.0068815,           0.0068815,           0.0068815
